State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,12,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,50,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,1,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,15,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,95,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,Others
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Salinity
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,15,Dried_up
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Destroyed
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Sea_water
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Project
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,Others
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Project
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,Others
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,1,Salinity
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Dried_up
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Project
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,0,Others
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,Salinity
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,3,Dried_up
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,Destroyed
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,1,Sea_water
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,Project
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,Others
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Salinity
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,8,Dried_up
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Destroyed
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Sea_water
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Project
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,Others
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Salinity
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,2,Dried_up
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Destroyed
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Sea_water
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Factory_waste
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Project
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,Others
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Salinity
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,1,Dried_up
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Destroyed
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Sea_water
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Project
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,Others
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Salinity
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,12,Dried_up
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Project
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,Others
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Salinity
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,13,Dried_up
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Destroyed
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Sea_water
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Project
ANDHRA PRADESH,Anantapur,Pamidi,Edurur,0,Others
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Salinity
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,4,Dried_up
ANDHRA PRADESH,Anantapur,Pamidi,Gajarampalle,0,Destroyed
