State,District,Block/Tehsil,Village,No. of Surface Lift Schemes Permanently not in use due to - Salinity,No. of Surface Lift Schemes Permanently not in use due to - Dried up,No. of Surface Lift Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Lift Schemes Permanently not in use due to - Sinking,No. of Surface Lift Schemes Permanently not in use due to - Other reasons
MADHYA PRADESH,JABALPUR,BARGI,BAMNI,1,0,0,0,3
MADHYA PRADESH,Ujjain,Khachrod,NAYAN,0,1,0,0,0
MADHYA PRADESH,JABALPUR,BARGI,BHATOLI,0,0,0,0,3
MADHYA PRADESH,JABALPUR,PANAGAR,SUHAGI,0,1,0,0,0
MADHYA PRADESH,khandwa,harsud,bakhaliya,0,0,1,0,0
MADHYA PRADESH,Ujjain,Ujjain,JHAROLIYA,0,0,0,0,1
MADHYA PRADESH,BETUL,AMLA,KUJBA,0,0,0,0,1
MADHYA PRADESH,JABALPUR,SIHORA,GHUGRI159,0,0,0,0,3
MADHYA PRADESH,JABALPUR,BARGI,SALIWARA2,0,0,1,0,0
MADHYA PRADESH,JABALPUR,SIHORA,DAROULIKALA,0,0,0,0,1
MADHYA PRADESH,JABALPUR,BARGI,CHIVLHA,0,5,0,0,0
MADHYA PRADESH,JABALPUR,MAJHOLI,BHITAKALA,0,0,0,0,1
MADHYA PRADESH,vidisha,vidisha,IMALIYA,1,0,0,0,0
MADHYA PRADESH,Raisen,Badi,kamka,0,0,0,0,1
MADHYA PRADESH,khandwa,punasa,boradad raiyyat,0,0,2,0,0
MADHYA PRADESH,SIDHI,RAMPUR NAIKIN,MURTLA PAIPKHAR,0,0,0,0,1
MADHYA PRADESH,vidisha,kurwai,ISAKHEDI,0,1,0,0,0
MADHYA PRADESH,JABALPUR,MAJHOLI,MANGUWAN,0,0,0,0,1
MAHARASHTRA,Kolhapur,Karvir,Ambewadi,0,0,0,0,2
MAHARASHTRA,Kolhapur,Bhudargad,Mamdapur,0,0,7,4,3
MAHARASHTRA,Sangli,Shirala,Panumbre Tarf Warun,0,0,0,0,1
MAHARASHTRA,Sangli,Shirala,Mohare,0,0,0,0,3
MAHARASHTRA,Sindhudurg,Dodamarg,Ker,0,0,0,0,1
MAHARASHTRA,Kolhapur,Radhanagari,Helewadi,0,0,0,0,1
MAHARASHTRA,Latur,Nilanga,Madansuri,1,0,0,0,0
MAHARASHTRA,Sangli,Shirala,Nathavade,0,0,0,0,4
MAHARASHTRA,Kolhapur,Kagal,Bhadagaon,3,0,0,0,0
MAHARASHTRA,Osmanabad,Bhum,Jayavantnagar,0,0,0,0,1
MAHARASHTRA,Kolhapur,Gadhinglaj,Harli Kh.,0,0,0,0,1
MAHARASHTRA,Akola,Balapur,Swarupkhed,0,0,1,0,0
MAHARASHTRA,Kolhapur,Shahuwadi,Savarde Kh.,0,0,1,0,0
MAHARASHTRA,Kolhapur,Chandgad,Mahalunge Inam,0,0,1,0,0
MAHARASHTRA,Sindhudurg,Sawantwadi,Udeli,1,0,0,0,0
MAHARASHTRA,Satara,Patan,Belavade kh.,0,3,0,0,0
MAHARASHTRA,Nashik,Nandgaon,Pimpri_haveli,0,0,0,0,2
MAHARASHTRA,Kolhapur,Kagal,Malage Kh.,0,0,1,0,0
MAHARASHTRA,Bhandara,Sakoli,Wirshi,0,0,0,0,1
MAHARASHTRA,Kolhapur,Hatkanangle,Tilwani,0,0,1,0,5
MAHARASHTRA,Chandrapur,Warora,Bembal,0,1,0,0,0
MAHARASHTRA,Chandrapur,Gondpipri,Darur,0,0,0,0,1
MAHARASHTRA,Kolhapur,Shirol,Shirol,0,0,0,0,2
MAHARASHTRA,Nandurbar,Shahade,Palasvade,0,0,1,0,1
MAHARASHTRA,Solapur,Pandharpur,Ozewadi,0,4,0,0,0
MAHARASHTRA,Nandurbar,Shahade,Nandarkheda,0,0,0,0,3
MAHARASHTRA,Kolhapur,Panhala,Gharapan,0,0,2,0,0
MAHARASHTRA,Kolhapur,Radhanagari,Tarale Kh.,0,0,5,0,0
MAHARASHTRA,Kolhapur,Chandgad,Jakkanhatti,1,2,0,0,1
MANIPUR,Imphal East,Keirao Bitra,TOP-CHINGTHA,0,0,1,0,0
MANIPUR,Imphal East,Porompat,HEINGANG,0,1,0,0,0
MANIPUR,Imphal East,Porompat,NAHARUP,0,0,1,0,0
MANIPUR,Bishnupur,Moirang,WANGOO AHALLUP,0,0,2,0,0
MANIPUR,Imphal East,Sawombung,NUNGOI,0,1,0,0,0
MANIPUR,Imphal East,Porompat,KONGBA NONGTHOMBAM LEIKAI,0,1,0,0,0
MANIPUR,Bishnupur,Moirang,POMBIKHOK,0,0,1,0,0
MANIPUR,Imphal East,Sawombung,SEKTA,0,1,0,0,0
MANIPUR,Imphal West,Wangoi,MONGSANGEI,0,0,1,0,0
MANIPUR,Imphal East,Sawombung,TAKHEL,0,0,1,0,0
MANIPUR,Imphal West,Wangoi,THONGAM,0,0,1,0,0
MEGHALAYA,West Garo Hills,Gambegre,Bolchugre,0,0,1,0,0
ODISHA,Balasore,BALIAPAL,CHAKANATIPUR,0,0,1,0,0
ODISHA,Dhenkanal,SADAR,DHOLAPASI,0,0,0,0,1
ODISHA,Mayurbhanj,MURUDA,KADUANI,0,0,2,0,0
ODISHA,Deogarh,BARAKOTE,KUNDAPITHA,1,0,0,0,0
ODISHA,Ganjam,DIGAPAHANDI,KHAMARIGAON,0,0,1,0,0
ODISHA,Mayurbhanj,KARANJIA,KODARSAHI,1,0,1,0,0
ODISHA,Kendrapara,AUL,TANLADIA,0,0,1,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),LUHARPALI,0,0,7,0,0
ODISHA,Malkangiri,KUDUMULUGUMMA,PILAKUSUMI,0,0,1,0,0
ODISHA,Mayurbhanj,KARANJIA,PURUNADEOGAON,0,1,0,0,0
ODISHA,Deogarh,TILEIBANI,NIKTIMAL,0,0,1,0,0
ODISHA,Keonjhar,BANSPAL,CHAMPAJHAR,1,0,0,0,0
ODISHA,Mayurbhanj,RARUAN,NAIBHANGA,0,1,0,0,0
ODISHA,Jagatsinghpur,ERASAMA,ERASAMA,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,TARPADA,0,0,0,0,1
ODISHA,Kendrapara,AUL,MENDHAPUR,0,0,2,0,0
ODISHA,Sundargarh,SUBDEGA,PERUABHADI,0,1,1,0,0
ODISHA,Bargarh,GAISILAT,SAUNTKHANDI,0,0,0,0,2
ODISHA,Rayagada,KOLNARA,BETAPADU,0,0,0,1,0
ODISHA,Puri,GOP,MANAPADA,0,0,1,0,0
ODISHA,Khurda,CHILIKA,FULAGORARA,1,0,0,0,0
ODISHA,Angul,ATHAMALLIK,TITIGAON,0,1,0,0,0
ODISHA,Deogarh,RIAMAL,KADAMBAJHARI,0,1,0,0,0
ODISHA,Kendrapara,GARADPUR,SABALSINGHPUR,0,0,0,0,1
ODISHA,Kendrapara,MAHAKALPADA,MAHANANGALA,0,0,0,0,3
ODISHA,Sambalpur,KUCHINDA,BANKE,0,0,1,0,0
ODISHA,Kalahandi,KOKASARA,ANILI,0,0,0,1,0
ODISHA,Khurda,BOLAGARH,ROLASINGH,0,0,1,0,0
ODISHA,Kendrapara,AUL,ARAGOL,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,KHADIASULA,0,0,1,0,0
ODISHA,Kalahandi,JUNAGAD,KAILIGAON,0,0,0,0,1
ODISHA,Kendrapara,AUL,BALIADA,0,0,1,0,0
ODISHA,Ganjam,DHARAKOTE,ASKADAMODARPALLI,0,0,0,1,0
ODISHA,Kendrapara,MAHAKALPADA,OLIA,0,0,1,0,2
ODISHA,Mayurbhanj,KARANJIA,SADANGITAINSIRA,0,0,0,1,0
ODISHA,Malkangiri,KUDUMULUGUMMA,NAKAMAMIDI,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,KOTIRIMAJHIGUDA,0,0,2,0,0
ODISHA,Mayurbhanj,SULIAPADA,PAKATIA,0,0,0,0,1
ODISHA,Bargarh,BIJEPUR,JARING,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,GIRIA,0,0,0,0,2
ODISHA,Khurda,BOLAGARH,PAIKASAHI,0,0,1,0,1
ODISHA,Mayurbhanj,SAMAKHUNTA,KANTAPALA,0,0,2,0,0
ODISHA,Angul,PALALAHADA,SIARIA,1,0,0,0,0
ODISHA,Mayurbhanj,RARUAN,JHUMUKAPALA,0,0,2,0,0
ODISHA,Kendrapara,RAJKANIKA,BHARIGADA,2,0,0,0,0
ODISHA,Cuttack,BADAMBA,GOPAMATHURA,1,0,1,0,0
ODISHA,Nawarangpur,KOSAGUMUDA,SIMILA,0,1,2,0,0
ODISHA,Mayurbhanj,BETANATI,BHALIA,0,0,1,0,0
ODISHA,Jharsuguda,LAIKERA,KUKERAMA,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,SANAGOAN,0,0,0,0,3
ODISHA,Kendrapara,AUL,EKAMANIA,2,0,0,0,0
ODISHA,Mayurbhanj,BADASAHI,UCHABALI,0,0,0,1,0
ODISHA,Sonepur,DUNGURIPALI,AINLASARI,0,1,0,0,0
ODISHA,Angul,KANIHA,KHAJURIA,0,0,0,0,2
ODISHA,Kendrapara,AUL,GUNUDIA,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,KUDAKHETRI,0,0,1,0,1
ODISHA,Kendrapara,MAHAKALPADA,SATHIEBATI,0,0,0,0,1
ODISHA,Deogarh,TILEIBANI,NUANGOAN,0,0,1,0,0
ODISHA,Kendrapara,KENDRAPADA,PHORAD,0,0,1,0,0
ODISHA,Mayurbhanj,RASAGOBINDAPUR,BAGHASAHI,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,BIRAGOBINDAPUR,0,0,3,0,0
ODISHA,Kendrapara,RAJKANIKA,GUALIGOAN,0,0,0,0,1
ODISHA,Kendrapara,AUL,GOPALPUR,0,0,2,0,0
ODISHA,Khurda,BOLAGARH,GODABHANGA,0,0,0,0,1
ODISHA,Kalahandi,BHAWANIPATANA,BARAGAON,0,1,0,0,0
ODISHA,Jajpur,SUKINDA,BAHABALPUR,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,KARADAPAL,0,0,1,0,0
ODISHA,Jajpur,BINJHARPUR,DHARAMPUR,0,0,1,0,0
ODISHA,Malkangiri,KORKUNDA,CHIDUPALLI,0,0,1,0,0
ODISHA,Kendrapara,MARSHAGHAI,BHUSARANG,0,1,0,0,0
ODISHA,Mayurbhanj,SULIAPADA,SALASAHI C/O MUNDHALIA,0,0,2,0,0
ODISHA,Mayurbhanj,BADASAHI,ARAPATA,0,0,2,0,0
ODISHA,Mayurbhanj,RASAGOBINDAPUR,GAMBHARIA,0,0,2,0,0
ODISHA,Kendrapara,AUL,PARAMANANDPUR,0,0,1,0,0
ODISHA,Sundargarh,NUAGAON,RAIBAHAL,0,1,0,0,0
ODISHA,Kendrapara,MAHAKALPADA,BADAGOAN,0,0,0,0,2
ODISHA,Mayurbhanj,MURUDA,PALESBADHE,1,0,0,0,0
ODISHA,Kalahandi,KOKASARA,BADAPODAGUDA,0,1,1,0,0
ODISHA,Jajpur,KOREI,SAHAPUR,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,KHARUSIAPAT,0,0,0,0,1
ODISHA,Keonjhar,JODA,KENDUDIHA,0,0,1,0,0
ODISHA,Mayurbhanj,UDALA,KATHUABEDA,0,0,0,0,2
ODISHA,Sundargarh,BADAGAON,BHIKAMPUR,0,0,1,0,0
ODISHA,Kalahandi,JUNAGAD,KRUSHNACHANDRAPUR,0,0,0,0,1
ODISHA,Malkangiri,MATHILI,KADAMGUDA,0,0,0,0,2
ODISHA,Mayurbhanj,SULIAPADA,DEULI,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,BANDHAPADA,0,0,0,0,1
ODISHA,Kendrapara,AUL,KUMARTANG,0,0,1,0,0
ODISHA,Ganjam,POLASARA,SANBARGAON,0,0,1,0,0
ODISHA,Deogarh,RIAMAL,KUNDHEIGOLA,1,3,0,0,0
ODISHA,Kalahandi,KOKASARA,KAUDOLA,0,1,0,0,0
ODISHA,Dhenkanal,SADAR,GOBINDAPUR,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,ITAKHANDI,0,0,0,0,1
ODISHA,Mayurbhanj,BETANATI,POISILA,0,0,1,0,0
ODISHA,Kendrapara,AUL,NUAGOAN,0,0,0,0,1
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),KHHEMATKHAR,0,0,1,0,0
ODISHA,Sambalpur,KUCHINDA,RANIKELA(TARANIKELA),0,1,0,0,0
ODISHA,Cuttack,NARASINGHPUR,BALIJHARIRAYEDBAD,0,0,0,0,1
ODISHA,Sundargarh,BADAGAON,KUREIBAGA,1,0,0,0,2
ODISHA,Kendrapara,GARADPUR,PATSURA,0,0,0,0,1
ODISHA,Cuttack,TANGI CHOUDWAR,RAMACHANDRAPUR,0,0,0,1,1
ODISHA,Sonepur,SONEPUR,PANISIALI,0,0,0,0,2
ODISHA,Puri,ASTARANG,SOLAPATIA,1,0,0,0,0
ODISHA,Malkangiri,KORKUNDA,SIMAKUNDA,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,NAHURIPALA,1,0,0,0,0
ODISHA,Kendrapara,MAHAKALPADA,RAMCHANDRAPUR,0,0,0,0,3
ODISHA,Kendrapara,RAJKANIKA,NANDIMAHARA,0,0,0,0,2
ODISHA,Puri,KAKATPUR,CHATU ANAKA,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,TAMPO,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,KHADIMATI,0,1,0,0,1
ODISHA,Mayurbhanj,BARIPADA,KAILASHCHANDRAPUR,0,0,0,0,3
ODISHA,Kendrapara,RAJKANIKA,DEULTARA,0,0,1,0,0
ODISHA,Puri,ASTARANG,GOPALPUR,0,1,0,0,0
ODISHA,Puri,PURISADAR,BALABHADRAPUR UTARAHANA,0,0,1,0,0
ODISHA,Malkangiri,KUDUMULUGUMMA,GOPIGUDA,0,0,1,0,0
ODISHA,Angul,CHHENDIPADA,JARAPADA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,BADAGAR,1,0,0,0,0
ODISHA,Kendrapara,MAHAKALPADA,KHURUSIA,0,0,0,0,1
ODISHA,Rayagada,MUNIGUDA,PENIKONA,0,0,0,0,1
ODISHA,Mayurbhanj,KARANJIA,KUTUMA,0,0,1,0,0
ODISHA,Keonjhar,JODA,REVENSAPUR(A),0,0,0,1,0
ODISHA,Kalahandi,JUNAGAD,KANDHASARIGUDA,0,1,0,0,0
ODISHA,Kalahandi,NARLA,DAHAL,0,1,1,0,0
ODISHA,Mayurbhanj,JASIPUR,MADANMOHANPUR,0,1,0,0,0
ODISHA,Jharsuguda,JHARSUGUDA,SRIPURA,0,0,0,0,1
ODISHA,Sambalpur,KUCHINDA,BANDABAHAL,0,1,0,0,0
ODISHA,Nuapada,KHARIAR,BICHHANAPALI,0,0,1,0,0
ODISHA,Ganjam,CHHATRAPUR,BADMADHAPUR,0,0,6,0,0
ODISHA,Cuttack,NARASINGHPUR,EKTAL,0,0,1,0,0
ODISHA,Kendrapara,RAJNAGAR,HATINA,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,CHHATRA,0,0,0,0,2
ODISHA,Angul,PALALAHADA,PAUNSIA,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,CHANDIAPALLI,0,0,0,0,2
ODISHA,Kalahandi,NARLA,LAMASINGA,0,0,2,0,0
ODISHA,Malkangiri,MATHILI,BANDAMAJHIGUDA,0,0,1,0,0
ODISHA,Mayurbhanj,MURUDA,KISANTANDI,0,0,0,0,1
ODISHA,Bhadrak,TIHIDI,ISHANAPUR,0,0,1,0,1
ODISHA,Kendrapara,DERABISHI,ARAKHAND,0,0,1,0,0
ODISHA,Rayagada,GUNUPUR,GODA,0,0,1,0,0
ODISHA,Kendrapara,DERABISHI,THAKEINEULI,0,0,1,0,0
ODISHA,Ganjam,POLASARA,MADARANGAPALLI,0,0,1,0,0
ODISHA,Kendrapara,MARSHAGHAI,SHASNIPADA,0,0,0,0,1
ODISHA,Keonjhar,GHASIPURA,NAPANGA,0,0,1,0,0
ODISHA,Kendrapara,AUL,MADHUBAN,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,KOSTHA,0,0,2,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),CHARPALI,0,0,1,0,0
ODISHA,Mayurbhanj,RARUAN,KENDUA,0,0,1,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),BHELUAKHOL,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,MANEIDIHI,0,0,3,0,0
ODISHA,Cuttack,TANGI CHOUDWAR,ARADA,0,0,1,0,0
ODISHA,Mayurbhanj,BADASAHI,AGRIA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,MADRANGAPAT,0,0,2,0,0
ODISHA,Keonjhar,GHASIPURA,SALADEI,0,0,2,0,1
ODISHA,Ganjam,HINJILICUT,CHANDULI,0,0,0,0,1
ODISHA,Kendrapara,AUL,DHANMANDAL,0,0,1,0,0
ODISHA,Bargarh,GAISILAT,KHUNTAPALI,0,0,1,0,0
ODISHA,Kendrapara,AUL,PETPADA,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,NADIGAON,0,0,1,0,0
ODISHA,Bhadrak,TIHIDI,BIRABARPUR,2,0,0,0,0
ODISHA,Mayurbhanj,BADASAHI,NICHINTAPUR,0,0,1,0,0
ODISHA,Kendrapara,GARADPUR,BINCHANA,0,0,2,0,0
ODISHA,Balasore,SORO,BRAMHANASABIRA,0,0,2,0,0
ODISHA,Puri,PURISADAR,TALAJANGA,1,0,1,0,0
ODISHA,Bhadrak,TIHIDI,DAPA,0,0,0,0,1
ODISHA,Sambalpur,MANESWAR,DEOGAON,1,0,0,0,0
ODISHA,Dhenkanal,GANDIA,BARADA,0,0,0,0,1
ODISHA,Puri,DELANGA,TIGIRIA,0,1,0,0,0
ODISHA,Malkangiri,MATHILI,BHANDARIPANGAM,0,1,0,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),BARABHATA,0,0,3,0,0
ODISHA,Deogarh,TILEIBANI,BADABALIPOSI,0,1,0,0,0
ODISHA,Sambalpur,KUCHINDA,JHARMAL,0,0,1,0,0
ODISHA,Keonjhar,GHASIPURA,TALAGAON,0,0,2,0,0
ODISHA,Malkangiri,MATHILI,SARGIGUDA,0,1,0,0,0
ODISHA,Mayurbhanj,SULIAPADA,SINGAMARA,0,1,0,0,0
ODISHA,Kendrapara,AUL,MAHU,0,0,3,0,1
ODISHA,Dhenkanal,SADAR,SANKULEI,0,0,0,0,1
ODISHA,Mayurbhanj,RARUAN,PHULKAMA,0,0,1,0,0
ODISHA,Puri,KANAS,BADAS,0,2,1,0,0
ODISHA,Sundargarh,BISHRA,JAMASARA,0,0,1,0,0
ODISHA,Jajpur,DASARATHPUR,ITAPADA,0,0,1,0,0
ODISHA,Khurda,TANGI,SUTARANGA,0,0,0,1,0
ODISHA,Nawarangpur,DABUGAON,BADAOLAMA,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,NILAMBERPUR,0,0,1,0,0
ODISHA,Kendrapara,KENDRAPADA,TAMALSASAN,0,0,1,0,0
ODISHA,Mayurbhanj,RASAGOBINDAPUR,BACHHURPALA,0,0,1,0,0
ODISHA,Cuttack,NARASINGHPUR,BALIJHARIPAIKABAD,0,0,0,0,1
ODISHA,Kendrapara,RAJKANIKA,KATNIBANIA,0,0,1,0,0
ODISHA,Jajpur,BINJHARPUR,SINGIPUR,1,0,0,0,0
ODISHA,Rayagada,GUNUPUR,DAMBASORA,0,0,0,0,1
ODISHA,Kendrapara,RAJNAGAR,SANTHAPADA,0,0,1,0,0
ODISHA,Keonjhar,JODA,LAHANDA,0,0,0,1,0
ODISHA,Ganjam,SHERAGAD,BALIARSINGH,0,0,1,0,0
ODISHA,Kendrapara,AUL,RANIPOKHARI,0,0,1,0,0
ODISHA,Mayurbhanj,KARANJIA,SIMAGAON,0,0,1,0,0
ODISHA,Kendrapara,PATTAMUNDAI,PENTHAPAL,0,0,1,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),JAMKHAR,0,0,1,0,0
ODISHA,Balasore,BALASORE,BALIPALA,0,0,1,0,0
ODISHA,Mayurbhanj,KARANJIA,SANABADAPOSI,1,0,0,0,0
ODISHA,Mayurbhanj,BADASAHI,MADHAPUR,0,0,0,0,1
ODISHA,Malkangiri,MATHILI,TEMURPALI,0,3,0,0,0
ODISHA,Bargarh,GAISILAT,AILABHATA,0,0,4,0,0
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),BABIMAL,0,0,1,0,0
ODISHA,Sundargarh,BADAGAON,BADAKHAMANA,0,1,9,0,0
ODISHA,Angul,KANIHA,MASUNI HATA,0,0,0,0,1
ODISHA,Mayurbhanj,BADASAHI,KHUNTAPALA,0,0,1,0,0
ODISHA,Kalahandi,KOKASARA,LADUGAON,0,0,1,0,0
ODISHA,Malkangiri,MATHILI,MENDAKULI,0,2,1,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,BALIPADA,0,2,0,0,0
ODISHA,Bhadrak,TIHIDI,SHYAMASUNDARPUR,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,MAHURIGAON,1,0,0,0,0
ODISHA,Balasore,BASTA,KUDIA,0,0,0,0,2
ODISHA,Mayurbhanj,MURUDA,MASINASULA,0,0,0,0,1
ODISHA,Bargarh,BIJEPUR,TALAPADAR,0,0,0,0,1
ODISHA,Ganjam,DIGAPAHANDI,KAITHAKHANDI,0,0,1,0,0
ODISHA,Deogarh,BARAKOTE,DANRA(TENTLIA),0,0,0,1,0
ODISHA,Nawarangpur,PAPADAHANDI,MUNDAGUDA,0,0,0,0,2
ODISHA,Bargarh,BIJEPUR,BARAMUNDA,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,NAKHANINGA,0,0,0,0,1
ODISHA,Bargarh,BIJEPUR,LEMADHAR,0,0,1,0,0
ODISHA,Balasore,OUPADA,DHOLAPUR,0,0,1,0,0
ODISHA,Cuttack,BADAMBA,PARAJAPADA,0,0,1,0,0
ODISHA,Dhenkanal,HINDOL,BENIPATHAR,0,1,0,0,0
ODISHA,Bargarh,BHEDEN,GUDURAMUNDA,0,0,1,0,0
ODISHA,Kalahandi,KOKASARA,MAHINA,0,1,0,0,0
ODISHA,Sundargarh,NUAGAON,KUNDARA,1,0,0,0,0
ODISHA,Mayurbhanj,RARUAN,TAKUDIPALA,0,0,1,0,0
ODISHA,Balasore,BASTA,TENTULIA,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,LATADEIPURSASAN,0,0,2,0,0
ODISHA,Mayurbhanj,MURUDA,MURUDA,0,0,0,0,1
ODISHA,Mayurbhanj,SULIAPADA,DHATIKA,0,0,1,0,0
ODISHA,Deogarh,BARAKOTE,THAKURPALI,0,0,0,0,2
ODISHA,Kendrapara,MARSHAGHAI,TALASANGA,0,0,0,0,1
ODISHA,Kendrapara,GARADPUR,JAGADALPUR,0,0,0,0,2
ODISHA,Kendrapara,MAHAKALPADA,SAHABAJPUR,0,0,0,0,3
ODISHA,Mayurbhanj,BETANATI,DHANAPUR,0,1,1,0,0
ODISHA,Jajpur,SUKINDA,JEMADEIPURSASAN,0,1,0,0,0
ODISHA,Ganjam,SORADA,HINJILIKUDA,0,1,0,0,0
ODISHA,Bargarh,GAISILAT,GANIAPALI,0,1,0,0,0
ODISHA,Mayurbhanj,SULIAPADA,PATARNESA,0,0,0,0,1
ODISHA,Deogarh,BARAKOTE,BADAMANAPUR,0,0,0,0,1
ODISHA,Mayurbhanj,RASAGOBINDAPUR,SAURMULA,0,0,1,0,0
ODISHA,Mayurbhanj,TIRING,BHAGABANDHI,0,0,1,0,0
ODISHA,Kendrapara,MAHAKALPADA,RAMKANI,0,0,0,0,1
ODISHA,Mayurbhanj,MURUDA,BHALIADIHA,0,0,0,0,1
ODISHA,Bargarh,PADMAPUR (RAJABUDASAMBAR),KHUJIANI,0,0,1,0,0
ODISHA,Kendrapara,AUL,KUANRPUR,0,0,1,0,0
ODISHA,Angul,PALALAHADA,BARA KOTIA,0,3,0,0,0
ODISHA,Kalahandi,KOKASARA,THARIAGUDA,0,1,0,0,0
ODISHA,Cuttack,BADAMBA,MANGARAJPUR,0,0,1,0,0
ODISHA,Kalahandi,JUNAGAD,PRAHALADPUR,0,0,0,0,1
ODISHA,Koraput,BANDHUGAON,JAGUGUDA,0,0,1,0,0
ODISHA,Nawarangpur,PAPADAHANDI,CHANDANPALA,0,0,2,0,0
ODISHA,Angul,ANUGUL,INKAR BANDHA,0,1,0,0,0
ODISHA,Keonjhar,BANSPAL,HATISILA,0,0,1,0,0
ODISHA,Mayurbhanj,MURUDA,KANDANA,0,0,0,0,2
ODISHA,Keonjhar,GHASIPURA,BATTO,0,0,0,0,2
ODISHA,Jajpur,JAJPUR,KAMALPUR,0,0,1,0,0
ODISHA,Puri,ASTARANG,ASTARANGA,0,1,0,0,0
ODISHA,Ganjam,SORADA,SIDHAPUR,0,0,1,0,0
ODISHA,Koraput,BORIGUMMA,BADAPARIA,0,0,1,0,0
ODISHA,Mayurbhanj,SULIAPADA,POKHARIA,0,0,1,0,0
ODISHA,Bargarh,GAISILAT,CHANTIPALI,0,0,1,0,0
ODISHA,Balasore,SIMULIA,HARISINGHPUR,0,0,1,0,0
ODISHA,Koraput,BORIGUMMA,SANAPARIA,0,0,2,0,0
ODISHA,Balasore,SIMULIA,NISCHINTA,0,0,1,0,0
ODISHA,Dhenkanal,GANDIA,RAMSUDHA,0,0,1,0,0
ODISHA,Mayurbhanj,RARUAN,BISIDA,0,0,2,0,0
ODISHA,Ganjam,BUGUDA,UDAYAPUR,0,0,1,0,0
ODISHA,Bargarh,GAISILAT,BEHERABAHAL,0,0,1,0,2
ODISHA,Mayurbhanj,SAMAKHUNTA,TARAJODI,0,0,2,0,0
ODISHA,Malkangiri,MATHILI,MALIGUDA,0,0,0,0,1
ODISHA,Khurda,BOLAGARH,GOBA DIHA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,PARIMAKUNDPUR,0,0,2,0,0
ODISHA,Khurda,BOLAGARH,CHAMPAILO,0,0,2,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,KHATKHURA,0,1,0,0,0
ODISHA,Ganjam,PATRAPUR,SURUNGAGARH,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,SIKO,0,0,2,0,0
ODISHA,Mayurbhanj,SULIAPADA,DHOBANISULA,0,0,1,0,0
ODISHA,Khurda,BOLAGARH,BISWANATHPUR,0,0,0,0,3
ODISHA,Kendrapara,RAJKANIKA,KHANDEITA,0,0,0,0,2
ODISHA,Kalahandi,JUNAGAD,SURELI,0,1,0,0,0
ODISHA,Jajpur,BINJHARPUR,OLEICHANDANPUR,0,0,1,0,1
ODISHA,Keonjhar,JODA,DADUAN,0,0,2,0,0
ODISHA,Dhenkanal,KAMAKHYANAGAR,RANKIA,0,4,0,0,0
ODISHA,Malkangiri,KHAIRPUT,ANDARAHAL,0,0,1,0,0
ODISHA,Bhadrak,CHANDABALI,PRATAPPUR,0,2,0,0,0
ODISHA,Bargarh,GAISILAT,CHIKHILI,0,1,1,0,0
ODISHA,Kendrapara,RAJKANIKA,TENTULIKULI,0,0,1,0,0
ODISHA,Mayurbhanj,BADASAHI,BAGHUAPALA,0,0,0,0,1
ODISHA,Mayurbhanj,SAMAKHUNTA,BADAPANIPALA,0,0,1,0,0
ODISHA,Kendrapara,RAJKANIKA,GANJA,0,0,1,0,0
