State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Amadagur,Mohammadabad,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,54,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,1,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,1,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,44,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,1,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,1,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,36,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,17,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,2,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,103,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,2,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,1,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,2,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Project
